"","X.1.1.","X.1.2.","X.1.3.","X.2.1.","X.2.2.","X.2.3.","X.3.1.","X.3.2.","X.3.3.","X..1.1..","X..1.2..","X..1.3..","X..2.1..","X..2.2..","X..2.3..","X..3.1..","X..3.2..","X..3.3..","X.rsmax2.","X573","X.fast.iamb.","X.x2.","X0.01","X.tabu.","X.bde."
"X.1.1.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X.1.2.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X.1.3.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X.3.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X..1.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X..2.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X..3.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X..3.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
"X..3.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",573,"fast.iamb","x2",0.01,"tabu","bde"
