"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.rsmax2.","X896","X.mmpc.","X.mi.","X0.01","X.tabu.","X.bic."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X..3.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X..3.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X..4.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
"X..4.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",896,"mmpc","mi",0.01,"tabu","bic"
